symbol,Period Start,Period End,Return,Earnings Per Share
HP,2014-09-30,2015-09-30,-0.00198538580757,3.9
HP,2015-09-30,2016-09-30,0.00172408280015,-0.54
HPE,2015-10-31,2016-10-31,0.00218541495503,1.84
HPQ,2013-10-31,2014-10-31,0.00152483808304,2.66
HPQ,2015-10-31,2016-10-31,0.000189374375925,1.44
HRB,2013-04-30,2014-04-30,6.96184906711e-05,1.73
HRB,2014-04-30,2015-04-30,0.000196966585902,1.72
HRB,2015-04-30,2016-04-30,-0.00142253406768,1.5
HRL,2013-10-27,2014-10-26,0.000822428056447,2.28
HRL,2015-10-31,2016-10-30,0.000526331014587,0.46
HRS,2013-06-28,2014-06-27,0.00207496710682,5.0
HRS,2014-06-27,2015-07-03,0.000103021963373,3.15
HRS,2015-07-03,2016-07-01,0.000306404801987,2.61
HSIC,2012-12-29,2013-12-28,0.0016848796233,5.02
HSIC,2013-12-28,2014-12-27,0.000796464761043,5.53
HSIC,2014-12-27,2015-12-26,0.000566296801886,5.78
HST,2012-12-31,2013-12-31,0.000811353583835,0.16
HST,2013-12-31,2014-12-31,0.000929222502431,0.34
HST,2014-12-31,2015-12-31,-0.00141163832652,0.22
HUM,2013-12-31,2014-12-31,0.0015739510052,7.44
HUM,2014-12-31,2015-12-31,0.000985749607253,8.54
IBM,2012-12-31,2013-12-31,-0.000177444689627,15.06
IBM,2013-12-31,2014-12-31,-0.000536643565436,11.97
IBM,2014-12-31,2015-12-31,-0.00059844588477,13.48
IDXX,2012-12-31,2013-12-31,0.000519818047097,3.53
IDXX,2013-12-31,2014-12-31,0.00163369821063,3.63
IDXX,2014-12-31,2015-12-31,-4.01325062238e-05,2.07
IFF,2012-12-31,2013-12-31,0.0010235601953,4.32
IFF,2013-12-31,2014-12-31,0.00072786064702,5.09
IFF,2014-12-31,2015-12-31,0.000739350495889,5.19
ILMN,2013-12-29,2014-12-28,0.00281993630283,2.61
ILMN,2014-12-28,2016-01-03,5.00722222623e-05,3.19
INTC,2013-12-28,2014-12-27,0.00180323179237,2.39
INTC,2014-12-27,2015-12-26,-0.000235743416865,2.41
INTU,2013-07-31,2014-07-31,0.00107559456382,3.18
INTU,2014-07-31,2015-07-31,0.00124180338946,1.3
INTU,2015-07-31,2016-07-31,0.000225276706799,3.73
IP,2012-12-31,2013-12-31,0.000836969440372,3.15
IP,2013-12-31,2014-12-31,0.000449691342584,1.3
IP,2014-12-31,2015-12-31,-0.00115827701575,2.25
IPG,2012-12-31,2013-12-31,0.00207113547339,0.62
IPG,2013-12-31,2014-12-31,0.000714736652237,1.14
IPG,2014-12-31,2015-12-31,0.000593768567509,1.11
IRM,2012-12-31,2013-12-31,-0.000213998596287,0.51
IRM,2013-12-31,2014-12-31,0.00166052060611,1.67
IRM,2014-12-31,2015-12-31,-0.00121716201667,0.58
ISRG,2013-12-31,2014-12-31,0.00155520122153,11.35
ISRG,2014-12-31,2015-12-31,0.000155462094864,15.87
ITW,2013-12-31,2014-12-31,0.000549039334478,7.33
ITW,2014-12-31,2015-12-31,-8.3824545168e-05,5.16
IVZ,2012-12-31,2013-12-31,0.00138947814372,2.1
IVZ,2013-12-31,2014-12-31,0.000403795131201,2.27
IVZ,2014-12-31,2015-12-31,-0.000573845530555,2.26
JBHT,2012-12-31,2013-12-31,0.00105707431853,2.92
JBHT,2013-12-31,2014-12-31,0.000396307461962,3.2
JBHT,2014-12-31,2015-12-31,-0.000470163225869,3.69
JEC,2013-09-27,2014-09-26,-0.00058206500228,2.51
JEC,2014-09-26,2015-10-02,-0.000944089460412,2.42
JEC,2015-10-02,2016-09-30,0.00125508627782,1.75
JNPR,2012-12-31,2013-12-31,0.000390067025508,0.88
JNPR,2013-12-31,2014-12-31,-2.82438004858e-05,-0.73
JNPR,2014-12-31,2015-12-31,0.00091031194022,1.62
JPM,2012-12-31,2013-12-31,0.00122797290285,4.39
JPM,2013-12-31,2014-12-31,0.000297908985465,5.34
JPM,2014-12-31,2015-12-31,0.00022479767472,6.05
JWN,2013-02-02,2014-02-01,0.000215651229943,3.77
JWN,2014-02-01,2015-01-31,0.00146532865971,3.79
JWN,2015-01-31,2016-01-30,-0.00142930963881,3.22
K,2012-12-29,2013-12-28,0.00036594907273,4.98
K,2013-12-28,2015-01-03,0.000270144298988,1.76
K,2015-01-03,2016-01-02,0.000496612662373,1.74
KIM,2012-12-31,2013-12-31,4.47010681035e-05,0.43
KIM,2013-12-31,2014-12-31,0.00107787151448,0.89
KIM,2014-12-31,2015-12-31,0.000155862298669,2.01
KLAC,2013-06-30,2014-06-30,0.00124618108059,3.51
KLAC,2014-06-30,2015-06-30,-0.000915625644902,2.26
KLAC,2015-06-30,2016-06-30,0.00114561161189,4.52
KMB,2013-12-31,2014-12-31,0.000636977676515,4.07
KMB,2014-12-31,2015-12-31,0.000403522136879,2.78
KMI,2014-12-31,2015-12-31,-0.00258525121602,0.1
KMX,2013-02-28,2014-02-28,0.0010391075397,2.2
KMX,2014-02-28,2015-02-28,0.0015711100833,2.77
KMX,2015-02-28,2016-02-29,-0.00125951221289,3.07
KO,2012-12-31,2013-12-31,0.0003915488008,1.94
KO,2013-12-31,2014-12-31,0.000152249880933,1.62
KO,2014-12-31,2015-12-31,7.72180429802e-05,1.69
KORS,2013-03-30,2014-03-29,0.00266337766338,3.27
KORS,2014-03-29,2015-03-28,-0.00112341443045,4.35
KORS,2015-03-28,2016-04-02,-0.000549824560382,4.5
KR,2013-02-02,2014-02-01,0.00121379289492,2.93
KR,2014-02-01,2015-01-31,0.00379150453565,3.49
KR,2015-01-31,2016-01-30,0.000453982119741,2.09
KSS,2013-02-02,2014-02-01,0.000477629593978,4.08
KSS,2014-02-01,2015-01-31,0.000827428388957,4.28
KSS,2015-01-31,2016-01-30,-0.000758035513562,3.48
KSU,2013-12-31,2014-12-31,6.71295965608e-05,4.56
KSU,2014-12-31,2015-12-31,-0.00150762017989,4.41
LB,2013-02-02,2014-02-01,0.000415041916547,3.12
LB,2014-02-01,2015-01-31,0.00264403355038,3.57
LB,2015-01-31,2016-01-30,0.000530582643679,4.3
LEG,2012-12-31,2013-12-31,0.000456170599171,1.36
LEG,2013-12-31,2014-12-31,0.0015466614119,0.69
LEG,2014-12-31,2015-12-31,-1.31773139363e-05,2.31
LEN,2013-11-30,2014-11-30,0.00136577079969,3.12
LEN,2014-11-30,2015-11-30,0.00042366912978,3.87
LH,2012-12-31,2013-12-31,0.000171725121769,6.36
LLL,2012-12-31,2013-12-31,0.00149980027561,8.7
LLL,2013-12-31,2014-12-31,0.00079795577511,7.78
LLL,2014-12-31,2015-12-31,-0.00024838537368,-2.97
LLTC,2013-06-30,2014-06-29,0.00107651028539,1.91
LLTC,2014-06-29,2015-06-28,-0.000143890213524,2.13
LLTC,2015-06-28,2016-07-03,0.00016470573953,2.02
LLY,2012-12-31,2013-12-31,0.000119424491781,4.33
LLY,2013-12-31,2014-12-31,0.00142835224766,2.23
LLY,2014-12-31,2015-12-31,0.000804299512287,2.27
LMT,2013-12-31,2014-12-31,0.00126325597783,11.41
LMT,2014-12-31,2015-12-31,0.000489385751947,11.62
LNT,2012-12-31,2013-12-31,0.000567898033553,3.23
LNT,2013-12-31,2014-12-31,0.0012222034131,3.46
LNT,2014-12-31,2015-12-31,-0.000241675557942,3.36
LOW,2013-02-01,2014-01-31,0.000876830287714,2.14
LOW,2014-01-31,2015-01-30,0.00193611562277,2.71
LOW,2015-01-30,2016-01-29,0.000189273591788,2.73
LRCX,2013-06-30,2014-06-29,0.00204925590687,3.84
LRCX,2014-06-29,2015-06-28,0.000900806277571,4.11
LRCX,2015-06-28,2016-06-26,0.000103327442241,5.75
